Hour,Import/Export
0,-12.0
1,-12.0
2,-10.0
3,-10.0
4,-10.0
5,-4.0
6,2.0
7,4.0
8,6.0
9,12.0
10,10.0
11,8.0
12,2.0
13,-2.0
14,-4.0
15,-4.0
16,0.0
17,4.0
18,8.0
19,14.0
20,18.0
21,10.0
22,2.0
23,-8.0
