charge_target,time,iterations
0.2,1.1257579326629639,4
0.3,1.1262719631195068,4
0.4,1.126103162765503,4
0.5,1.1140780448913574,4
0.6,1.1803321838378906,4
0.7,1.1448767185211182,4
0.8,1.0998821258544922,4
0.9,1.5744431018829346,4
1,1.0847101211547852,4
TOTAL,10.650744199752808,0
