stor_level,time,iterations
0,8.228081941604614,7
4,7.6435017585754395,7
8,7.754671096801758,7
12,7.662086725234985,7
16,7.7690019607543945,7
20,7.712235927581787,7
TOTAL,46.84588098526001,0
