stor_level,time,iterations
0,1.0875251293182373,5
4,1.1970369815826416,5
8,1.1084599494934082,5
12,1.0881202220916748,5
16,1.0683717727661133,5
20,1.0679447650909424,5
TOTAL,6.661573886871338,0
