stor_level,time,iterations
0,2.586205005645752,7
4,2.0188708305358887,5
8,1.6192760467529297,4
12,1.6067399978637695,4
16,1.5922977924346924,4
20,1.592390775680542,4
TOTAL,11.053017139434814,0
