Hour,Import/Export
0,-20.036255148115526
1,-20.036255148115526
2,-18.036255148115526
3,-18.036255148115526
4,-18.036255148115526
5,-12.036255148115526
6,-6.036255148115526
7,-4.036255148115526
8,-2.0362551481155258
9,3.9637448518844742
10,1.9637448518844742
11,-0.03625514811552577
12,-6.036255148115526
13,-10.036255148115526
14,-12.036255148115526
15,-12.036255148115526
16,-8.036255148115526
17,-4.036255148115526
18,-0.03625514811552577
19,5.963744851884474
20,9.963744851884474
21,1.9637448518844742
22,-6.036255148115526
23,-15.286058544538097
