Hour,Import/Export
0,8.0
1,8.0
2,10.0
3,10.0
4,10.0
5,16.0
6,22.0
7,24.0
8,26.0
9,32.0
10,30.0
11,28.0
12,22.0
13,18.0
14,16.0
15,16.0
16,20.0
17,24.0
18,28.0
19,34.0
20,38.0
21,30.0
22,22.0
23,12.0
