Hour,Import/Export
0,-1.1664455310709752
1,-1.1664455310709752
2,0.8335544689290248
3,0.8335544689290248
4,0.8335544689290248
5,6.833554468929025
6,12.833554468929025
7,14.833554468929025
8,16.833554468929023
9,22.833554468929023
10,20.833554468929023
11,18.833554468929023
12,12.833554468929025
13,8.833554468929025
14,6.833554468929025
15,6.833554468929025
16,10.833554468929025
17,14.833554468929025
18,18.833554468929023
19,24.833554468929023
20,28.833554468929023
21,20.833554468929023
22,12.833554468929025
23,2.833554468929025
