Hour,Import/Export
0,-52.0
1,-52.0
2,-50.0
3,-50.0
4,-50.0
5,-44.0
6,-38.0
7,-36.0
8,-34.0
9,-28.0
10,-30.0
11,-32.0
12,-38.0
13,-42.0
14,-44.0
15,-44.0
16,-40.0
17,-36.0
18,-32.0
19,-26.0
20,-22.0
21,-30.0
22,-38.0
23,-48.0
