stor_level,time,iterations
0,1901.5883150100708,9
4,1345.4603712558746,6
8,968.7336668968201,4
12,957.1635451316833,4
16,957.596253156662,4
20,1089.779571056366,4
TOTAL,7220.381230831146,0
